col_s,row_s,proportion_lichen
10,34,0.6355249462375452
11,34,0.6701621814947109
12,34,0.9201702057416926
13,34,0.9094209225170249
14,34,0.9530466919468658
15,34,0.9842999876197333
16,34,0.9859140075840597
17,34,0.7376483912531122
18,34,0.8701447574155505
19,34,0.7578603230791099
20,34,0.8378472764702098
21,34,0.8841573852876577
22,34,0.8249888806863253
23,34,0.9090646479189689
24,34,0.8622213866815841
25,34,0.9455635084758974
26,34,0.9615569790314963
27,34,0.9858837801325233
28,34,1.0
29,34,0.9906093383893732
30,34,0.9148971291536941
31,34,0.09009165982695139
32,34,
33,34,
34,34,
35,34,
36,34,
37,34,
0,35,
1,35,
2,35,
3,35,
4,35,
5,35,
6,35,0.13958147613752286
7,35,0.5794056554892727
8,35,0.848502216984809
9,35,0.6776361943977001
10,35,0.8895129969874684
11,35,0.6345070131918621
12,35,0.8058682464498439
13,35,0.9558638372958617
14,35,0.9602318319585124
15,35,0.8217516701896932
16,35,0.7866559065335712
17,35,0.5562912388978811
18,35,0.8261260311157371
19,35,0.9981292041322579
20,35,0.9762891619413478
21,35,0.9174648881878499
22,35,0.8630650789356639
23,35,0.6886592171086117
24,35,0.854389721627409
25,35,0.9084869021362838
26,35,0.5409855609407168
27,35,1.0
28,35,1.0
29,35,0.9577420227521791
30,35,0.8114531223491327
31,35,
32,35,
33,35,
34,35,
35,35,
36,35,
37,35,
0,36,
1,36,
2,36,
3,36,
4,36,
5,36,
6,36,0.34273189291523837
7,36,0.9174236206319438
8,36,1.0
9,36,0.9847401748827314
10,36,0.8033738519595212
11,36,0.5510089917419035
12,36,0.4364227448427018
13,36,0.6225611381202268
14,36,0.6449201931321616
15,36,0.7904433511089509
16,36,0.6764623616963716
17,36,1.0
18,36,0.8945017859681139
19,36,1.0
20,36,0.9858837801325233
21,36,0.9436560303362389
22,36,0.9658121225738117
23,36,0.8433850400524556
24,36,0.8219259109812966
25,36,0.9996606889847722
26,36,0.731531622411034
27,36,0.9989706923013298
28,36,0.9388139704432594
29,36,0.9475168394554516
30,36,0.24092457666365566
31,36,
32,36,
33,36,
34,36,
35,36,
36,36,
37,36,
0,37,
1,37,
2,37,
3,37,
4,37,
5,37,
6,37,0.5012360882631351
7,37,0.8475484779149797
8,37,1.0
9,37,1.0
10,37,0.946893240832871
11,37,0.7088803195025883
12,37,0.7353007258504556
